WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.03350265 -44.7341821333),121014,1787271,53209,"41 Mill Road, Waimate",41,41,,Mill Road,Waimate,Waimate District,Mill Road,"41 Mill Road, Waimate",Waimate,171.03350265,-44.7341821333
POINT (171.0420658833 -44.7295201167),121450,1783543,32195,"3 Town Belt, Waimate",3,3,,Town Belt,Waimate,Waimate District,Town Belt,"3 Town Belt, Waimate",Waimate,171.042065883,-44.7295201167
POINT (171.0384844 -44.7335513167),121589,1787213,47887,"72 Rhodes Street, Waimate",72,72,,Rhodes Street,Waimate,Waimate District,Rhodes Street,"72 Rhodes Street, Waimate",Waimate,171.03848440000002,-44.7335513167
POINT (171.0397711667 -44.7361182667),121684,1787271,45604,"13 Mill Road, Waimate",13,13,,Mill Road,Waimate,Waimate District,Mill Road,"13 Mill Road, Waimate",Waimate,171.039771167,-44.736118266700004
POINT (171.163043 -44.779347),948116,1783587,320655,"172 Byrnes Road, Morven",172,172,,Byrnes Road,Morven,Waimate District,Byrnes Road,"172 Byrnes Road, Morven",Morven,171.163043,-44.779346999999994
POINT (171.0397380667 -44.6040584167),950349,3001503,30575,"230 Pakihi Road, Otaio",230,230,,Pakihi Road,Otaio,Waimate District,Pakihi Road,"230 Pakihi Road, Otaio",Otaio,171.039738067,-44.6040584167
POINT (171.1349390833 -44.8248400333),951143,1783506,30569,"31 Ryans Road, Morven",31,31,,Ryans Road,Morven,Waimate District,Ryans Road,"31 Ryans Road, Morven",Morven,171.134939083,-44.8248400333
POINT (171.0988345833 -44.9149486667),1444432,1782220,32332,"19 Ruane Street, Glenavy",19,19,,Ruane Street,Glenavy,Waimate District,Ruane Street,"19 Ruane Street, Glenavy",Glenavy,171.09883458299998,-44.9149486667
POINT (170.9881537667 -44.5486451),1570609,3006169,43560,"3328 Back Line Road, Otaio",3328,3328,,Back Line Road,Otaio,Waimate District,Back Line Road,"3328 Back Line Road, Otaio",Otaio,170.988153767,-44.5486451
POINT (171.1017935167 -44.9178459333),1608770,1841058,349890,"1 Stocker Lane, Glenavy",1,1,,Stocker Lane,Glenavy,Waimate District,Stocker Lane,"1 Stocker Lane, Glenavy",Glenavy,171.101793517,-44.9178459333
POINT (171.02689415 -44.59203645),1845861,1782155,29480,"220 Daledew Road, Otaio",220,220,,Daledew Road,Otaio,Waimate District,Daledew Road,"220 Daledew Road, Otaio",Otaio,171.02689415,-44.59203645
POINT (171.1604609 -44.8137347167),1845873,1783506,30569,"267 Ryans Road, Morven",267,267,,Ryans Road,Morven,Waimate District,Ryans Road,"267 Ryans Road, Morven",Morven,171.1604609,-44.8137347167
POINT (171.0398107333 -44.7423647167),1860919,3004941,56154,"22B Gorge Road, Waimate",22B,22,,Gorge Road,Waimate,Waimate District,Gorge Road,"22B Gorge Road, Waimate",Waimate,171.039810733,-44.7423647167
POINT (171.030023 -44.903922),947856,1782184,33533,"63 Ferry Road, Glenavy",63,63,,Ferry Road,Glenavy,Waimate District,Ferry Road,"63 Ferry Road, Glenavy",Glenavy,171.030023,-44.903921999999994
POINT (171.042369 -44.744807),947901,1783510,37141,"13 Settlement Road, Waimate",13,13,,Settlement Road,Waimate,Waimate District,Settlement Road,"13 Settlement Road, Waimate",Waimate,171.042369,-44.744807
POINT (171.043238 -44.809363),948139,3021701,43055,"317 Greenhill Road, Ikawai",317,317,,Greenhill Road,Ikawai,Waimate District,Greenhill Road,"317 Greenhill Road, Ikawai",Ikawai,171.043238,-44.809363
POINT (171.1037080833 -44.7122170833),948196,3068003,47071,"473 Timaru Road, Waimate",473,473,,Timaru Road,Waimate,Waimate District,Timaru Road,"473 Timaru Road, Waimate",Waimate,171.103708083,-44.7122170833
POINT (171.0126808833 -44.6396389),949267,3053344,29852,"962 Waimate Hunter Road, Makikihi",962,962,,Waimate Hunter Road,Makikihi,Waimate District,Waimate Hunter Road,"962 Waimate Hunter Road, Makikihi",Makikihi,171.012680883,-44.639638899999994
POINT (171.055919 -44.692334),949355,1782268,38616,"680 Lower Hook Road, Makikihi",680,680,,Lower Hook Road,Makikihi,Waimate District,Lower Hook Road,"680 Lower Hook Road, Makikihi",Makikihi,171.055919,-44.692334
POINT (170.986138 -44.452387),949671,1782149,47219,"700 Craigmore Valley Road, Maungati",700,700,,Craigmore Valley Road,Maungati,Waimate District,Craigmore Valley Road,"700 Craigmore Valley Road, Maungati",Maungati,170.98613799999998,-44.452387
POINT (170.94179 -44.367495),949737,3026216,54604,"329 Cliffs Road, Maungati",329,329,,Cliffs Road,Maungati,Waimate District,Cliffs Road,"329 Cliffs Road, Maungati",Maungati,170.94179,-44.367495
POINT (171.0330414833 -44.7324855167),121079,1786550,47618,"9 Balmoral Street, Waimate",9,9,,Balmoral Street,Waimate,Waimate District,Balmoral Street,"9 Balmoral Street, Waimate",Waimate,171.033041483,-44.7324855167
POINT (171.0322834167 -44.7357005),121093,1782129,320693,"17 Mortimer Street, Waimate",17,17,,Mortimer Street,Waimate,Waimate District,Mortimer Street,"17 Mortimer Street, Waimate",Waimate,171.032283417,-44.7357005
POINT (171.04422165 -44.7294147333),121216,1787213,45175,"15 Rhodes Street, Waimate",15,15,,Rhodes Street,Waimate,Waimate District,Rhodes Street,"15 Rhodes Street, Waimate",Waimate,171.04422165,-44.7294147333
POINT (171.0367602167 -44.7312761667),121322,1782330,38290,"22 Opie Street, Waimate",22,22,,Opie Street,Waimate,Waimate District,Opie Street,"22 Opie Street, Waimate",Waimate,171.036760217,-44.7312761667
POINT (171.0408109333 -44.7333437),121442,1786566,45565,"38 Harris Street, Waimate",38,38,,Harris Street,Waimate,Waimate District,Harris Street,"38 Harris Street, Waimate",Waimate,171.040810933,-44.733343700000006
POINT (171.0400987333 -44.7343816167),121478,1786566,32935,"47 Harris Street, Waimate",47,47,,Harris Street,Waimate,Waimate District,Harris Street,"47 Harris Street, Waimate",Waimate,171.04009873299998,-44.7343816167
POINT (171.0429550167 -44.7335538333),121647,1782175,39088,"9 Elizabeth Street, Waimate",9,9,,Elizabeth Street,Waimate,Waimate District,Elizabeth Street,"9 Elizabeth Street, Waimate",Waimate,171.042955017,-44.7335538333
POINT (171.0404540333 -44.7391439833),121709,3015409,42118,"171 Queen Street, Waimate",171,171,,Queen Street,Waimate,Waimate District,Queen Street,"171 Queen Street, Waimate",Waimate,171.040454033,-44.739143983299996
POINT (171.0520135833 -44.7300130333),121933,3068003,41303,"10 Timaru Road, Waimate",10,10,,Timaru Road,Waimate,Waimate District,Timaru Road,"10 Timaru Road, Waimate",Waimate,171.052013583,-44.7300130333
POINT (171.0487067333 -44.7295479),122050,1782134,47683,"17 Parsonage Road, Waimate",17,17,,Parsonage Road,Waimate,Waimate District,Parsonage Road,"17 Parsonage Road, Waimate",Waimate,171.048706733,-44.7295479
POINT (171.04693615 -44.7316885667),122059,1783512,47891,"18 Shearman Street, Waimate",18,18,,Shearman Street,Waimate,Waimate District,Shearman Street,"18 Shearman Street, Waimate",Waimate,171.04693615,-44.7316885667
POINT (171.0985718333 -44.9161295667),122734,1782220,42746,"31 Ruane Street, Glenavy",31,31,,Ruane Street,Glenavy,Waimate District,Ruane Street,"31 Ruane Street, Glenavy",Glenavy,171.098571833,-44.9161295667
POINT (170.750656 -44.738081),947776,1782244,45242,"92 Hursts Road, Elephant Hill",92,92,,Hursts Road,Elephant Hill,Waimate District,Hursts Road,"92 Hursts Road, Elephant Hill",Elephant Hill,170.750656,-44.738081
POINT (170.936688 -44.783596),947807,3013554,339205,"55 Stony Creek Road, Waihao Downs",55,55,,Stony Creek Road,Waihao Downs,Waimate District,Stony Creek Road,"55 Stony Creek Road, Waihao Downs",Waihao Downs,170.93668799999998,-44.783596
POINT (171.1434530333 -44.6297099833),949383,1782277,47473,"16 Makikihi Beach Road, Makikihi",16,16,,Makikihi Beach Road,Makikihi,Waimate District,Makikihi Beach Road,"16 Makikihi Beach Road, Makikihi",Makikihi,171.143453033,-44.629709983299996
POINT (171.040887 -44.53001),949487,1782180,29550,"621 Esk Valley Road, Otaio",621,621,,Esk Valley Road,Otaio,Waimate District,Esk Valley Road,"621 Esk Valley Road, Otaio",Otaio,171.040887,-44.53001
POINT (171.11681965 -44.4614295833),949599,3065883,41591,"781 Pareora River Road, Southburn",781,781,,Pareora River Road,Southburn,Waimate District,Pareora River Road,"781 Pareora River Road, Southburn",Southburn,171.11681965,-44.461429583299996
POINT (171.0778851333 -44.4406252667),949639,1782199,39459,"50 Gordons Valley Road, Maungati",50,50,,Gordons Valley Road,Maungati,Waimate District,Gordons Valley Road,"50 Gordons Valley Road, Maungati",Maungati,171.077885133,-44.4406252667
POINT (170.9467469833 -44.4899650167),949661,1782340,45687,"285 Patersons Road, Maungati",285,285,,Patersons Road,Maungati,Waimate District,Patersons Road,"285 Patersons Road, Maungati",Maungati,170.946746983,-44.4899650167
POINT (171.106342 -44.658156),951003,1782154,35079,"183 D'Auvergnes Road, Makikihi",183,183,,D'Auvergnes Road,Makikihi,Waimate District,D'Auvergnes Road,"183 D'Auvergnes Road, Makikihi",Makikihi,171.10634199999998,-44.658156
POINT (170.667893 -44.429576),951063,1838798,321068,"846 Moorland Settlement Road, Hakataramea Valley",846,846,,Moorland Settlement Road,Hakataramea Valley,Waimate District,Moorland Settlement Road,"846 Moorland Settlement Road, Hakataramea Valley",Hakataramea Valley,170.667893,-44.429576000000004
POINT (171.081294 -44.435362),951076,3065883,56472,"1193 Pareora River Road, Maungati",1193,1193,,Pareora River Road,Maungati,Waimate District,Pareora River Road,"1193 Pareora River Road, Maungati",Maungati,171.08129399999999,-44.435362
POINT (171.0535800667 -44.7275734),1431608,1782120,46827,"34 Augustine Street, Waimate",34,34,,Augustine Street,Waimate,Waimate District,Augustine Street,"34 Augustine Street, Waimate",Waimate,171.053580067,-44.7275734
POINT (171.0368835167 -44.7424773),1567207,1840564,340036,"20 Eric Batchelor Place, Waimate",20,20,,Eric Batchelor Place,Waimate,Waimate District,Eric Batchelor Place,"20 Eric Batchelor Place, Waimate",Waimate,171.036883517,-44.7424773
POINT (171.1875874833 -44.5145177),1613641,1782273,32876,"130 Lyall Road, Saint Andrews",130,130,,Lyall Road,Saint Andrews,Waimate District,Lyall Road,"130 Lyall Road, Saint Andrews",Saint Andrews,171.187587483,-44.5145177
POINT (170.6015617333 -44.7958047),1615266,3041498,54679,"4655 Hakataramea Highway, Station Peak",4655,4655,,Hakataramea Highway,Station Peak,Waimate District,Hakataramea Highway,"4655 Hakataramea Highway, Station Peak",Station Peak,170.60156173299998,-44.795804700000005
POINT (171.0491417167 -44.7354363333),2009980,1782341,31778,"15 Paul Street, Waimate",15,15,,Paul Street,Waimate,Waimate District,Paul Street,"15 Paul Street, Waimate",Waimate,171.049141717,-44.7354363333
POINT (171.1446188 -44.6324549333),2019086,1782278,42077,"20 Makikihi Station Road, Makikihi",20,20,,Makikihi Station Road,Makikihi,Waimate District,Makikihi Station Road,"20 Makikihi Station Road, Makikihi",Makikihi,171.14461880000002,-44.6324549333
POINT (170.4888624 -44.7242564),120447,1782328,320986,"58 Old Slip Road, Hakataramea, Kurow",58,58,,Old Slip Road,Hakataramea,Waimate District,Old Slip Road,"58 Old Slip Road, Hakataramea, Kurow",Hakataramea,170.48886240000002,-44.7242564
POINT (171.0419763667 -44.7313525333),121330,1782280,34508,"23 Manse Street, Waimate",23,23,,Manse Street,Waimate,Waimate District,Manse Street,"23 Manse Street, Waimate",Waimate,171.04197636700002,-44.7313525333
POINT (171.0426109167 -44.7274742),121340,1786554,33568,"24 Coronation Street, Waimate",24,24,,Coronation Street,Waimate,Waimate District,Coronation Street,"24 Coronation Street, Waimate",Waimate,171.04261091700002,-44.7274742
POINT (171.0425350667 -44.7302986667),121368,1787213,30535,"28 Rhodes Street, Waimate",28,28,,Rhodes Street,Waimate,Waimate District,Rhodes Street,"28 Rhodes Street, Waimate",Waimate,171.04253506700002,-44.7302986667
POINT (171.0379089667 -44.73198465),121470,1782350,38539,"44 Belt Street, Waimate",44,44,,Belt Street,Waimate,Waimate District,Belt Street,"44 Belt Street, Waimate",Waimate,171.03790896700002,-44.73198465
POINT (171.0441784833 -44.7284571167),121629,1786554,33568,"8 Coronation Street, Waimate",8,8,,Coronation Street,Waimate,Waimate District,Coronation Street,"8 Coronation Street, Waimate",Waimate,171.044178483,-44.7284571167
POINT (171.0369783167 -44.7370816667),121743,1783499,46458,"1 Betten Street, Waimate",1,1,,Betten Street,Waimate,Waimate District,Betten Street,"1 Betten Street, Waimate",Waimate,171.036978317,-44.7370816667
POINT (171.0382352333 -44.7353297833),121766,1787271,52011,"24 Mill Road, Waimate",24,24,,Mill Road,Waimate,Waimate District,Mill Road,"24 Mill Road, Waimate",Waimate,171.038235233,-44.7353297833
POINT (171.0415683 -44.7360129),121878,1783512,42117,"91 Shearman Street, Waimate",91,91,,Shearman Street,Waimate,Waimate District,Shearman Street,"91 Shearman Street, Waimate",Waimate,171.04156830000002,-44.7360129
POINT (171.0461453333 -44.7339662667),121926,3015409,30996,"108 Queen Street, Waimate",108,108,,Queen Street,Waimate,Waimate District,Queen Street,"108 Queen Street, Waimate",Waimate,171.046145333,-44.7339662667
POINT (171.0461551167 -44.72714075),122200,1782134,46293,"40 Parsonage Road, Waimate",40,40,,Parsonage Road,Waimate,Waimate District,Parsonage Road,"40 Parsonage Road, Waimate",Waimate,171.046155117,-44.72714075
POINT (171.0457858833 -44.73308185),122210,1783512,50889,"45 Shearman Street, Waimate",45,45,,Shearman Street,Waimate,Waimate District,Shearman Street,"45 Shearman Street, Waimate",Waimate,171.04578588299998,-44.73308185
POINT (171.0531013333 -44.7345016333),122365,1786557,47888,"9 Eaton Street, Waimate",9,9,,Eaton Street,Waimate,Waimate District,Eaton Street,"9 Eaton Street, Waimate",Waimate,171.053101333,-44.7345016333
POINT (171.0506195 -44.7353918833),122375,1787410,50746,"10 Michael Street, Waimate",10,10,,Michael Street,Waimate,Waimate District,Michael Street,"10 Michael Street, Waimate",Waimate,171.0506195,-44.7353918833
POINT (171.0444877333 -44.7346919333),297183,3015409,33699,"138 Queen Street, Waimate",138,138,,Queen Street,Waimate,Waimate District,Queen Street,"138 Queen Street, Waimate",Waimate,171.04448773299998,-44.7346919333
POINT (170.642501 -44.68262),947634,3072756,321026,"414 Tabletop Road, Hakataramea Valley",414,414,,Tabletop Road,Hakataramea Valley,Waimate District,Tabletop Road,"414 Tabletop Road, Hakataramea Valley",Hakataramea Valley,170.642501,-44.68262
POINT (170.9604037167 -44.78447155),947660,3041498,283552,"856 Hakataramea Highway, Waimate",856,856,,Hakataramea Highway,Waimate,Waimate District,Hakataramea Highway,"856 Hakataramea Highway, Waimate",Waimate,170.96040371700002,-44.78447155
POINT (170.8200533167 -44.7117578833),947758,1782342,39616,"298 Pentland Hills Road, Waihaorunga",298,298,,Pentland Hills Road,Waihaorunga,Waimate District,Pentland Hills Road,"298 Pentland Hills Road, Waihaorunga",Waihaorunga,170.820053317,-44.7117578833
POINT (170.98307 -44.788608),947833,3003739,34926,"135 Kapua Road, Waimate",135,135,,Kapua Road,Waimate,Waimate District,Kapua Road,"135 Kapua Road, Waimate",Waimate,170.98307,-44.788608
POINT (171.0435869 -44.7486300833),947906,1783537,42550,"50 Taylors Road, Waimate",50,50,,Taylors Road,Waimate,Waimate District,Taylors Road,"50 Taylors Road, Waimate",Waimate,171.0435869,-44.7486300833
POINT (171.118193 -44.910217),947975,1782160,31356,"91 Andrews Road, Glenavy",91,91,,Andrews Road,Glenavy,Waimate District,Andrews Road,"91 Andrews Road, Glenavy",Glenavy,171.118193,-44.910216999999996
POINT (171.1437403 -44.88564445),947989,3061437,53229,"364 Mairos Road, Morven",364,364,,Mairos Road,Morven,Waimate District,Mairos Road,"364 Mairos Road, Morven",Morven,171.14374030000002,-44.88564445
POINT (171.0683330167 -44.7278570167),948121,1786585,34920,"32 Bathgates Road, Waimate",32,32,,Bathgates Road,Waimate,Waimate District,Bathgates Road,"32 Bathgates Road, Waimate",Waimate,171.06833301700001,-44.7278570167
POINT (171.016532 -44.712461),948327,3009462,42839,"144 Whitneys Road, Waimate",144,144,,Whitneys Road,Waimate,Waimate District,Whitneys Road,"144 Whitneys Road, Waimate",Waimate,171.016532,-44.712461
POINT (171.0338289833 -44.55163735),949445,1783575,282461,"1061 Woolshed Valley Road, Otaio",1061,1061,,Woolshed Valley Road,Otaio,Waimate District,Woolshed Valley Road,"1061 Woolshed Valley Road, Otaio",Otaio,171.033828983,-44.55163735
POINT (171.105119 -44.45402),949602,3065883,41591,"905 Pareora River Road, Southburn",905,905,,Pareora River Road,Southburn,Waimate District,Pareora River Road,"905 Pareora River Road, Southburn",Southburn,171.105119,-44.45402
POINT (170.91494 -44.479588),949682,1782300,45693,"535 Middle Yards Road, Maungati",535,535,,Middle Yards Road,Maungati,Waimate District,Middle Yards Road,"535 Middle Yards Road, Maungati",Maungati,170.91494,-44.479588
POINT (171.12277085 -44.7251480167),950259,3052729,38325,"2700 Waimate Highway, Waimate",2700,2700,,Waimate Highway,Waimate,Waimate District,Waimate Highway,"2700 Waimate Highway, Waimate",Waimate,171.12277085,-44.725148016700004
POINT (171.0975894667 -44.5057226167),950303,1782274,40921,"147 Lyalldale Road, Saint Andrews",147,147,,Lyalldale Road,Saint Andrews,Waimate District,Lyalldale Road,"147 Lyalldale Road, Saint Andrews",Saint Andrews,171.097589467,-44.5057226167
POINT (171.1373539 -44.6316757333),123495,3068048,47470,"32 Makikihi Hunter Road, Makikihi",32,32,,Makikihi Hunter Road,Makikihi,Waimate District,Makikihi Hunter Road,"32 Makikihi Hunter Road, Makikihi",Makikihi,171.13735390000002,-44.6316757333
POINT (171.0349094 -44.73746495),1729066,3061045,320695,"28 Point Bush Road, Waimate",28,28,,Point Bush Road,Waimate,Waimate District,Point Bush Road,"28 Point Bush Road, Waimate",Waimate,171.0349094,-44.73746495
POINT (171.0422346167 -44.6015551),1845872,3001503,30575,"262 Pakihi Road, Otaio",262,262,,Pakihi Road,Otaio,Waimate District,Pakihi Road,"262 Pakihi Road, Otaio",Otaio,171.04223461700002,-44.601555100000006
POINT (171.1014888333 -44.9215057333),1934567,3052729,321303,"5/4963 Waimate Highway, Glenavy",5/4963,4963,,Waimate Highway,Glenavy,Waimate District,Waimate Highway,"5/4963 Waimate Highway, Glenavy",Glenavy,171.101488833,-44.9215057333
POINT (171.0424984 -44.7368515333),121731,3015409,30017,"196 Queen Street, Waimate",196,196,,Queen Street,Waimate,Waimate District,Queen Street,"196 Queen Street, Waimate",Waimate,171.04249840000003,-44.7368515333
POINT (171.0373389667 -44.7416392167),121750,3015409,360783,"203 Queen Street, Waimate",203,203,,Queen Street,Waimate,Waimate District,Queen Street,"203 Queen Street, Waimate",Waimate,171.037338967,-44.7416392167
POINT (171.0420789 -44.7418720333),121825,1782283,344038,"4 Massey Street, Waimate",4,4,,Massey Street,Waimate,Waimate District,Massey Street,"4 Massey Street, Waimate",Waimate,171.0420789,-44.7418720333
POINT (171.04714275 -44.7349408833),122013,1787408,38389,"14 John Street, Waimate",14,14,,John Street,Waimate,Waimate District,John Street,"14 John Street, Waimate",Waimate,171.04714275,-44.7349408833
POINT (171.05077755 -44.7273389333),122048,1782125,42612,"17 Exeter Street, Waimate",17,17,,Exeter Street,Waimate,Waimate District,Exeter Street,"17 Exeter Street, Waimate",Waimate,171.05077755,-44.7273389333
POINT (171.0466437833 -44.7299175833),122168,1782261,44273,"35 Leonard Street, Waimate",35,35,,Leonard Street,Waimate,Waimate District,Leonard Street,"35 Leonard Street, Waimate",Waimate,171.04664378299998,-44.7299175833
POINT (171.0477650833 -44.7266353),122252,1782121,36572,"5 Bond Street, Waimate",5,5,,Bond Street,Waimate,Waimate District,Bond Street,"5 Bond Street, Waimate",Waimate,171.047765083,-44.72663529999999
POINT (171.0497039833 -44.7286584),122255,1782120,44464,"5 Augustine Street, Waimate",5,5,,Augustine Street,Waimate,Waimate District,Augustine Street,"5 Augustine Street, Waimate",Waimate,171.049703983,-44.7286584
POINT (171.0507304333 -44.7344587),122266,1782127,30827,"63 High Street, Waimate",63,63,,High Street,Waimate,Waimate District,High Street,"63 High Street, Waimate",Waimate,171.05073043299998,-44.734458700000005
POINT (171.0527916167 -44.73475085),122302,1786557,39042,"7 Eaton Street, Waimate",7,7,,Eaton Street,Waimate,Waimate District,Eaton Street,"7 Eaton Street, Waimate",Waimate,171.052791617,-44.73475085
POINT (171.0548791 -44.7385599667),122393,1782171,40289,"14 Edward Street, Waimate",14,14,,Edward Street,Waimate,Waimate District,Edward Street,"14 Edward Street, Waimate",Waimate,171.0548791,-44.7385599667
POINT (171.050757 -44.7369314),122419,1783529,46499,"20 Studholme Street, Waimate",20,20,,Studholme Street,Waimate,Waimate District,Studholme Street,"20 Studholme Street, Waimate",Waimate,171.050757,-44.7369314
POINT (171.0525213833 -44.7351762667),122501,1782127,30826,"66 High Street, Waimate",66,66,,High Street,Waimate,Waimate District,High Street,"66 High Street, Waimate",Waimate,171.052521383,-44.7351762667
POINT (171.0990602 -44.9162158167),122731,1782220,42746,"18 Ruane Street, Glenavy",18,18,,Ruane Street,Glenavy,Waimate District,Ruane Street,"18 Ruane Street, Glenavy",Glenavy,171.0990602,-44.9162158167
POINT (170.496768 -44.711366),947625,3043496,321113,"201 McHenrys Road, Hakataramea Valley",201,201,,McHenrys Road,Hakataramea Valley,Waimate District,McHenrys Road,"201 McHenrys Road, Hakataramea Valley",Hakataramea Valley,170.496768,-44.711366
POINT (170.8992582667 -44.85208795),947851,3057259,35175,"1590 Pikes Point Road, Ikawai",1590,1590,,Pikes Point Road,Ikawai,Waimate District,Pikes Point Road,"1590 Pikes Point Road, Ikawai",Ikawai,170.89925826700002,-44.85208795
POINT (171.1340781167 -44.8704560833),947994,1782192,36255,"345 Archibald Road, Morven",345,345,,Archibald Road,Morven,Waimate District,Archibald Road,"345 Archibald Road, Morven",Morven,171.134078117,-44.8704560833
POINT (171.05293 -44.710971),948287,1782323,282300,"87 Norton Reserve Road, Waimate",87,87,,Norton Reserve Road,Waimate,Waimate District,Norton Reserve Road,"87 Norton Reserve Road, Waimate",Waimate,171.05293,-44.710971
POINT (170.9778207833 -44.64740145),949292,3062453,47170,"516 Upper Hook Road, Hunter",516,516,,Upper Hook Road,Hunter,Waimate District,Upper Hook Road,"516 Upper Hook Road, Hunter",Hunter,170.977820783,-44.64740145
POINT (171.173705 -44.49973),949625,1839279,37416,"104 Sullivan Road, Saint Andrews",104,104,,Sullivan Road,Saint Andrews,Waimate District,Sullivan Road,"104 Sullivan Road, Saint Andrews",Saint Andrews,171.173705,-44.49973
POINT (171.135994 -44.505792),950307,1787216,50785,"209 Talbots Road, Saint Andrews",209,209,,Talbots Road,Saint Andrews,Waimate District,Talbots Road,"209 Talbots Road, Saint Andrews",Saint Andrews,171.13599399999998,-44.505792
POINT (170.665851 -44.433652),951060,1838798,321068,"840 Moorland Settlement Road, Hakataramea Valley",840,840,,Moorland Settlement Road,Hakataramea Valley,Waimate District,Moorland Settlement Road,"840 Moorland Settlement Road, Hakataramea Valley",Hakataramea Valley,170.665851,-44.433652
POINT (171.03710785 -44.75619205),951133,3041498,34791,"27 Hakataramea Highway, Waimate",27,27,,Hakataramea Highway,Waimate,Waimate District,Hakataramea Highway,"27 Hakataramea Highway, Waimate",Waimate,171.03710785,-44.75619205
POINT (171.0594635833 -44.7276908833),1405551,3068003,43469,"67 Timaru Road, Waimate",67,67,,Timaru Road,Waimate,Waimate District,Timaru Road,"67 Timaru Road, Waimate",Waimate,171.059463583,-44.7276908833
POINT (171.1006285667 -44.91679115),1444463,3006396,56095,"29 Innes Street, Glenavy",29,29,,Innes Street,Glenavy,Waimate District,Innes Street,"29 Innes Street, Glenavy",Glenavy,171.100628567,-44.91679115
POINT (171.08242205 -44.777173),947927,1785595,40213,"531 Waihao Back Road, Waimate",531,531,,Waihao Back Road,Waimate,Waimate District,Waihao Back Road,"531 Waihao Back Road, Waimate",Waimate,171.08242205,-44.777173
POINT (171.1029924 -44.9169678),1590490,1782289,349883,"1A McLean Street, Glenavy",1A,1,,McLean Street,Glenavy,Waimate District,McLean Street,"1A McLean Street, Glenavy",Glenavy,171.1029924,-44.916967799999995
POINT (170.8655647333 -44.7391273333),1845828,1783595,320610,"298 Allanholme Road, Waihaorunga",298,298,,Allanholme Road,Waihaorunga,Waimate District,Allanholme Road,"298 Allanholme Road, Waihaorunga",Waihaorunga,170.86556473299999,-44.7391273333
POINT (171.0590654 -44.8034083833),1845838,3021701,43055,"174 Greenhill Road, Ikawai",174,174,,Greenhill Road,Ikawai,Waimate District,Greenhill Road,"174 Greenhill Road, Ikawai",Ikawai,171.0590654,-44.8034083833
POINT (171.1465310667 -44.8417548833),1845844,1782312,34714,"252 Morris Road, Morven",252,252,,Morris Road,Morven,Waimate District,Morris Road,"252 Morris Road, Morven",Morven,171.146531067,-44.8417548833
POINT (171.1013980667 -44.9204149667),1934548,3052729,321303,"14/4963 Waimate Highway, Glenavy",14/4963,4963,,Waimate Highway,Glenavy,Waimate District,Waimate Highway,"14/4963 Waimate Highway, Glenavy",Glenavy,171.10139806700002,-44.9204149667
POINT (171.0626739 -44.7279822333),2006505,1782304,34071,"10 Milford Street, Waimate",10,10,,Milford Street,Waimate,Waimate District,Milford Street,"10 Milford Street, Waimate",Waimate,171.0626739,-44.7279822333
POINT (171.0343508667 -44.7354479667),121100,1783499,37990,"23 Betten Street, Waimate",23,23,,Betten Street,Waimate,Waimate District,Betten Street,"23 Betten Street, Waimate",Waimate,171.034350867,-44.7354479667
POINT (171.0373291667 -44.7260300333),121261,1782127,41297,"189 High Street, Waimate",189,189,,High Street,Waimate,Waimate District,High Street,"189 High Street, Waimate",Waimate,171.037329167,-44.7260300333
POINT (171.0394534833 -44.7307647),121323,1782350,38539,"22 Belt Street, Waimate",22,22,,Belt Street,Waimate,Waimate District,Belt Street,"22 Belt Street, Waimate",Waimate,171.039453483,-44.73076470000001
POINT (171.0441478 -44.7322924),121374,1782246,50883,"28 Innes Street, Waimate",28,28,,Innes Street,Waimate,Waimate District,Innes Street,"28 Innes Street, Waimate",Waimate,171.04414780000002,-44.7322924
POINT (171.0418689667 -44.72699385),121390,1786554,33568,"30 Coronation Street, Waimate",30,30,,Coronation Street,Waimate,Waimate District,Coronation Street,"30 Coronation Street, Waimate",Waimate,171.041868967,-44.72699385
POINT (171.0407772833 -44.7396085833),121744,1782348,46861,"1 Price Street, Waimate",1,1,,Price Street,Waimate,Waimate District,Price Street,"1 Price Street, Waimate",Waimate,171.04077728299998,-44.7396085833
POINT (171.0392895 -44.7350704667),121828,1786566,47884,"57 Harris Street, Waimate",57,57,,Harris Street,Waimate,Waimate District,Harris Street,"57 Harris Street, Waimate",Waimate,171.0392895,-44.7350704667
POINT (171.05241095 -44.7337880167),121957,1782138,44655,"11 Wall Street, Waimate",11,11,,Wall Street,Waimate,Waimate District,Wall Street,"11 Wall Street, Waimate",Waimate,171.05241095,-44.733788016700004
POINT (171.0472146667 -44.7279707667),122160,1782134,44580,"32 Parsonage Road, Waimate",32,32,,Parsonage Road,Waimate,Waimate District,Parsonage Road,"32 Parsonage Road, Waimate",Waimate,171.04721466700002,-44.727970766700004
POINT (171.0456637333 -44.7272107833),122235,1782134,46293,"53 Parsonage Road, Waimate",53,53,,Parsonage Road,Waimate,Waimate District,Parsonage Road,"53 Parsonage Road, Waimate",Waimate,171.045663733,-44.7272107833
POINT (171.05684865 -44.7386089167),122601,1782163,317858,"4 Dobson Street, Waimate",4,4,,Dobson Street,Waimate,Waimate District,Dobson Street,"4 Dobson Street, Waimate",Waimate,171.05684865,-44.7386089167
